,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
Label,BtCv_1,BtCv_1,BtCv_1,BtCv_2,BtCv_2,BtCv_2,BtCv_3,BtCv_3,BtCv_3,BtCv_4,BtCv_4,BtCv_4,BtCv_5,BtCv_5,BtCv_5,BtCv_6,BtCv_6,BtCv_6,BtPs_1,BtPs_1,BtPs_1,BtPs_2,BtPs_2,BtPs_2,BtPs_3,BtPs_3,BtPs_3,BtPs_4,BtPs_4,BtPs_4,BtPs_5,BtPs_5,BtPs_5,BtPs_6,BtPs_6,BtPs_6,CvPs_1,CvPs_1,CvPs_1,CvPs_2,CvPs_2,CvPs_2,CvPs_3,CvPs_3,CvPs_3,CvPs_4,CvPs_4,CvPs_4,CvPs_4,CvPs_5,CvPs_5,CvPs_5,CvPs_6,CvPs_6,CvPs_6,Full_1,Full_1,Full_1,Full_1,Full_2,Full_2,Full_2,Full_3,Full_3,Full_3,Full_4,Full_4,Full_4,Full_5,Full_5,Full_5,Full_6,Full_6,Full_6
5.108336713/698.4059211,1.4655121,1.8202451,0.8060826,1.3137478,1.86569,1.7349995,2.0185182,2.5770058,2.061194,2.3705804,2.8813142,2.413601,3.061876,3.3349208,2.9326878,3.906634,3.605559,3.3216286,1.2865621,1.1914883,1.012298,2.4701917,1.4510452,1.9048834,2.9662051,1.9313268,2.3223951,3.2455644,2.5789592,2.9689245,3.5726801,3.0393836,3.8293789,4.0106354,2.47166,4.8844499,0.2309461,0.2369632,0.2327728,0.2268359,0.2270721,0.2275712,0.2273435,0.2294477,0.2219186,0.1948197,0.2258513,2.4454943,0.2252631,0.2344149,0.2605413,0.2240304,0.2382667,0.2463745,0.2230911,1.0905259,1.3579869,1.0540499,0.8972327,3.0218409,2.9892772,2.4554342,4.7142104,3.8243823,3.285014,5.8336631,5.4884225,1.9408894,7.3927676,5.813265,4.7749929,9.9134882,7.7465696,5.7507784
3.532655495/1001.491549,1.2013538,1.2464832,0.8547589,0.5767853,0.8305121,0.6521691,0.8090519,0.8527252,0.901765,0.5985243,0.9643511,1.2954185,0.7377615,1.2626701,1.0178081,1.1285515,1.1086182,1.231348,1.5342224,1.2386969,1.136292,1.712928,1.7013757,1.247471,1.5264794,2.4991797,1.6490445,1.5012766,2.2598411,1.7804934,1.1777796,2.4516171,2.1924216,1.1971715,0.6379128,1.2006968,0.1802519,0.1849482,0.1816777,0.177044,0.1772283,0.1776179,0.1774401,0.1790824,0.173206,0.1520555,0.1762755,0.6255799,0.1758164,0.1829593,0.2033508,0.1748543,0.1859656,0.1922937,0.1741212,1.0655982,1.0834649,0.949703,0.6790423,1.6195888,1.9789561,1.5449042,2.3693119,2.0453301,1.778561,2.4935677,2.2928184,1.982472,2.3737064,1.9966583,2.1485335,2.7263986,2.4299695,1.9595758
7.892481792/989.3089471,0.1594189,0.158446,0.1541665,0.4816164,0.3985489,0.5585466,0.946142,0.8274652,1.2314817,0.6939355,0.6872449,1.2245914,1.6348104,1.3059175,1.6812447,1.1984767,1.4018137,1.1233323,0.1612043,0.1670218,0.1586911,0.1586012,0.1724914,0.1603166,0.1666914,0.1650048,0.8383952,0.1614848,0.2060594,1.1492514,0.4824892,0.536871,0.9267453,0.4364301,0.1970152,1.4990287,0.1630985,0.1673478,0.1643885,0.1601958,0.1603626,0.1607151,0.1605542,0.1620402,0.156723,0.3029797,0.1595004,0.1674954,0.159085,0.1655482,0.1839991,0.1582145,0.3137988,0.1739943,0.1575511,0.2229432,0.1554763,0.349304,0.1571429,0.2740191,0.4990772,0.8956914,0.9202931,1.2347828,1.4016468,1.0366105,1.5301101,1.6877662,0.8375417,1.2494258,1.6782138,0.9224728,1.1429865,1.6580846
1.691191877/161.0453068,6.001387,9.955185,9.426994,4.234706,9.104207,7.521939,6.086661,7.257653,5.040306,1.566681,12.562533,5.947245,2.721598,8.652888,4.495206,3.830703,4.757205,4.580029,2.850546,6.698613,3.64402,7.487338,9.379185,6.888486,5.058222,9.311018,6.306643,4.048728,4.385933,2.785026,2.81249,4.556769,7.60308,4.075317,3.304073,4.280507,17.457609,13.029735,7.786478,12.15368,6.168313,7.341307,6.026103,6.715359,5.407889,5.135715,9.602525,4.692834,8.382006,4.952598,6.792893,6.071121,3.922786,3.616734,2.610438,7.524428,4.733088,6.517616,4.18116,4.80924,6.020239,8.398162,3.895218,4.621641,7.578014,6.256469,3.947018,9.540877,2.124052,3.10379,5.76689,4.502233,3.919511,4.106157
3.60805799/984.9720558,2.2562139,2.2576981,1.7835049,2.4183807,3.1914181,3.5671655,3.9050747,4.144845,4.6921618,3.9654134,4.6365758,5.4649772,5.372942,3.5211501,6.6243841,6.4161204,3.9611163,7.6242019,1.1998636,0.917492,1.1139428,1.8286277,1.253898,2.6615687,2.2922761,1.8504336,3.1518911,2.130357,2.4003271,3.8384332,1.7035504,3.4481466,4.7060968,3.1207907,1.6557741,5.1923725,0.256766,0.2634558,0.4425365,0.6401259,0.2524589,1.2011616,0.2527606,0.2551,1.577837,0.2166006,0.2511016,1.8516205,0.910581,0.2606226,0.28967,1.0075028,0.264905,0.2739193,0.2480328,2.0441565,1.8101919,1.4020015,1.8655862,3.4280218,3.9491591,4.2626149,5.2961523,5.5146858,5.4015043,6.3805712,3.7875462,5.9010134,6.8660133,2.8846298,7.4978042,9.4159755,10.1912384,8.1683251
4.141796537/411.1009311,0.9895332,1.3967263,1.0079962,2.4138647,0.81798,1.561417,3.2496704,1.3517845,1.2788358,2.9597495,1.5775931,2.3152036,3.6304388,1.5919097,2.7079078,4.3363408,1.7010242,2.7127134,0.2136334,0.2213428,0.3783849,0.2101836,0.4485211,0.5698364,0.2209051,0.2186699,1.4944398,0.214005,0.2730768,1.6774592,0.2957888,0.2496703,1.1031847,0.2210211,0.2610911,1.9508144,0.2161436,0.221775,0.6067231,0.2122968,0.2125178,0.4446473,0.2127718,0.2147412,0.3696859,0.1823327,0.2113753,0.2219706,0.2108248,0.21939,0.522994,0.2096711,0.2229949,0.2305831,0.208792,1.2283508,0.8823842,0.217138,0.4372811,1.5139207,0.9095165,2.0516548,1.1704237,1.0077292,1.0823014,2.1445061,0.6935958,1.4391535,1.2547119,0.7346388,2.5526358,2.5108099,1.1380865,2.7070595
4.792757349/702.4009272,0.6349327,0.8183642,0.401839,0.8751348,1.4222047,1.2975548,1.0450693,1.5473188,1.3919054,1.5482528,2.053826,2.1681535,2.3155413,2.4137903,1.8399929,3.2119495,2.6227239,2.0185831,0.803907,0.1976071,0.6381369,1.5647316,0.9638515,1.416946,1.9926262,1.2659892,1.7448929,2.0098773,1.6968747,2.3341312,2.4551403,1.8877887,3.3244519,2.4117823,1.3822869,4.4157963,0.1929654,0.1979929,0.1944917,0.1895312,0.1897285,0.1901455,0.1899552,0.1917134,0.1854225,0.1627802,0.1887085,1.259142,0.188217,0.1958637,0.2176934,0.187187,0.199082,0.2058565,0.1864022,0.4510387,0.6331663,0.5877412,0.5111318,2.4297871,2.2354458,1.9615597,3.9944059,3.1517574,2.9745884,4.6754382,4.3973353,3.2191826,5.9336428,4.5410229,3.9732147,8.2597882,6.3207849,4.6400239
4.825960466/811.401823,0.1963346,0.1951364,0.1898659,0.4364886,0.4056098,0.5256993,0.5048072,0.5307895,0.6015183,1.0236037,0.780732,0.9659584,0.9886237,0.6926817,1.7915566,1.5104378,0.8106612,1.8358094,0.3865086,0.205698,0.1954383,0.1953275,0.4937732,0.4717205,0.7180552,0.4582869,0.7108265,0.8438297,0.5228521,1.0350733,0.2748819,0.2320232,1.6473681,1.082282,0.2426367,1.6420135,0.2008662,0.2060996,0.2024549,0.1972913,0.1974967,0.1979308,0.1977328,0.1995629,0.1930144,0.1694451,0.196435,0.2062813,0.1959233,0.2038831,0.2266067,0.1948512,0.2072333,0.2142851,0.1940343,0.2745688,0.191479,0.2017904,0.1935315,1.79804,0.8398378,1.1671176,1.915529,1.7817708,2.1584537,1.4452183,1.3421174,1.5720733,3.0298742,1.1847393,2.5519854,3.757537,2.2015037,1.6174474
5.714494486/797.3773275,0.1695501,0.1685154,0.1639638,0.1708367,0.4061347,0.3650384,0.3566337,0.4404238,0.1707902,0.4151307,0.4483621,0.5464954,0.6789847,0.8220424,1.506069,1.445613,1.0215111,0.8664923,0.1714489,0.1776361,0.1687761,0.1686804,0.1834533,0.1705048,0.3635319,0.175491,0.4051783,0.1717472,0.2191545,0.6989816,0.2373818,0.2003699,0.7648325,0.3895823,0.2095356,0.6627618,0.1734635,0.1779829,0.1748355,0.1703763,0.1705537,0.1709286,0.2919913,0.172338,0.1666829,0.1463289,0.1696368,0.1781399,0.1691949,0.1760688,0.1956924,0.1682691,0.1789619,0.1850517,0.1675636,0.2371114,0.1653569,0.1742616,0.1671294,1.835282,0.5784888,0.876808,1.1628097,0.9865787,1.3211049,2.3046441,1.2755764,1.2006788,2.8017874,1.2073344,1.5867508,3.2299106,1.6866237,2.0152504
8.529848111/837.2797016,0.1891466,0.1879922,0.1829147,0.3841877,0.3837568,0.5193838,0.9700492,0.7877466,1.0917444,1.2603165,1.0421986,1.6709237,1.9027025,1.593083,2.2620212,2.7326532,1.6669851,2.7143242,0.1912649,0.1981671,0.1882831,0.1881763,0.2046567,0.1902116,0.1977752,0.1957741,0.3318316,0.1915976,0.2444843,0.7109342,0.2648182,0.2235285,1.0439548,0.3572878,0.2337535,1.3771816,0.1935122,0.198554,0.1950428,0.1900683,0.1902662,0.1906844,0.1904936,0.1922567,0.1859479,0.1632415,0.1892433,0.1987291,0.1887504,0.1964187,0.2183104,0.1877175,0.1996462,0.2064398,0.1869304,0.2645165,0.1844687,0.1944026,0.1864461,0.3558088,0.5300043,0.590652,0.9400741,0.8657366,1.2369011,1.3483738,0.9010932,1.6964467,2.026885,1.6677391,2.6079064,2.8140084,2.46637,3.0096313
