,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
Label,BtCv_1,BtCv_1,BtCv_1,BtCv_2,BtCv_2,BtCv_2,BtCv_3,BtCv_3,BtCv_3,BtCv_4,BtCv_4,BtCv_4,BtCv_5,BtCv_5,BtCv_5,BtCv_6,BtCv_6,BtCv_6,BtPs_1,BtPs_1,BtPs_1,BtPs_2,BtPs_2,BtPs_2,BtPs_3,BtPs_3,BtPs_3,BtPs_4,BtPs_4,BtPs_4,BtPs_5,BtPs_5,BtPs_5,BtPs_6,BtPs_6,BtPs_6,CvPs_1,CvPs_1,CvPs_1,CvPs_2,CvPs_2,CvPs_2,CvPs_3,CvPs_3,CvPs_3,CvPs_4,CvPs_4,CvPs_4,CvPs_4,CvPs_5,CvPs_5,CvPs_5,CvPs_6,CvPs_6,CvPs_6,Full_1,Full_1,Full_1,Full_1,Full_2,Full_2,Full_2,Full_3,Full_3,Full_3,Full_4,Full_4,Full_4,Full_5,Full_5,Full_5,Full_6,Full_6,Full_6
0.336010655/215.0323248,32.99897,44.77762,34.90023,34.86486,43.42314,33.07575,38.87709,43.08952,36.97878,31.33702,42.86067,34.5103,37.44227,43.29685,33.73283,36.00707,41.6613,33.71553,37.07589,43.9577,36.05694,35.9498,43.93963,33.88384,36.81999,44.23653,29.85635,31.47145,36.90914,29.90863,28.65172,37.64018,28.9475,35.19366,24.82579,28.58485,46.14799,47.75349,37.6515,38.33527,38.91423,32.21326,38.11175,40.15843,32.60545,26.5434,39.16641,38.32306,35.59513,33.70391,38.59585,33.37526,27.73103,30.38894,30.93506,39.58085,30.01876,34.10691,30.24947,31.58686,37.03931,37.14692,31.58298,32.52796,35.01213,31.42018,38.87327,32.32599,17.68768,28.18357,29.85251,34.62664,35.26587,30.08088
0.33606146/217.0291693,22.78321,31.21224,23.61258,24.70975,29.5841,22.97767,27.11839,30.0058,24.77611,21.88574,31.78994,24.01187,25.18827,29.347,23.42602,25.09355,29.05312,23.44319,26.49606,30.61396,24.74737,25.02076,30.60843,23.54494,25.47039,30.50221,20.91189,21.88495,25.74975,20.78235,19.75625,26.26168,20.17843,24.56575,17.29386,19.52034,32.14344,33.31183,26.08074,26.73168,27.06731,22.69004,26.56498,27.95075,22.66096,18.3329,27.26659,27.87713,24.77446,23.51853,26.86923,23.218,19.31994,21.51752,21.536,27.57056,21.11189,23.80237,21.46046,22.17306,25.78011,25.81927,21.82982,22.46376,24.34428,21.76663,27.07716,22.44114,12.25006,19.65481,20.7723,24.102,24.57929,20.93324
0.34510363/376.100727,15.221298,29.992444,18.872858,21.519608,32.615538,18.637121,26.369061,31.552417,21.419144,17.553591,33.080029,20.80015,24.934955,32.997861,20.223127,22.669277,33.788615,20.036413,21.03605,28.651534,23.543948,21.03158,28.823227,20.180157,22.638914,28.888158,15.945191,14.333756,27.866021,17.890638,12.21118,28.439555,13.830485,20.16849,10.553553,14.855834,31.294236,31.114872,25.213766,20.857515,29.935049,20.790767,22.443792,35.572854,21.354475,12.010031,23.108223,28.058398,26.754689,16.820366,33.791711,22.949538,19.351279,31.290008,25.539426,34.401401,13.028048,26.355219,15.607915,13.474707,32.666239,23.217557,18.566891,26.690645,20.79825,17.574601,39.553961,17.660068,5.755316,22.346885,16.367318,20.11963,27.225432,19.359155
3.026907178/487.2190999,25.8968637,24.1553143,24.0082857,34.0371092,28.7404635,25.8382068,37.3435895,31.7286231,31.4579356,36.3536826,34.6683186,33.1768437,41.179034,36.9759383,36.4446974,42.0759294,38.235917,39.6701465,1.3478677,1.7362323,11.6174591,1.389557,1.0611285,13.4156484,2.259769,2.4815324,14.705725,1.7851489,2.8409104,15.267506,2.4205874,1.4133585,18.0283443,2.2497557,1.4151934,17.0707276,23.9764587,27.4399406,24.5395816,32.4230547,31.0908561,31.2642594,34.5106596,34.7039756,33.1331908,23.1421086,37.3765113,3.4677974,35.0539421,38.2937826,44.3188034,37.5954982,44.2895892,45.2944533,39.9279215,21.2468377,23.2182938,33.7528799,27.4399774,31.1006572,31.4666301,30.8227915,36.0034548,32.9654723,33.4342041,36.4371556,38.5258518,34.7014142,41.1896405,36.3672301,37.2575188,41.7808106,40.4854273,38.493148
0.345001121/378.09744,10.374326,20.390873,12.836822,14.597685,22.084206,12.607895,17.937054,21.311097,14.41717,11.772632,22.426686,14.072248,16.962323,22.53224,13.679073,15.269594,22.94483,13.582432,14.310353,19.472941,15.860822,14.266346,19.591612,13.515441,15.299203,19.486326,10.855025,9.814545,18.959635,12.101018,8.272426,19.287592,9.309566,13.54233,7.13525,10.045336,21.178002,21.126548,17.291319,14.138873,20.288339,14.086019,15.193214,24.140617,14.466615,7.861605,15.631336,18.94993,18.151611,11.258111,22.898593,15.463447,13.075492,21.233743,17.36162,23.295137,8.905261,17.948162,10.498407,9.022954,22.275422,15.677585,12.515928,18.093122,14.022055,11.779081,26.919796,11.979943,3.724903,15.185955,11.001559,13.614458,18.38358,13.112671
5.191131245/426.9670562,13.64624,13.55616,13.24574,20.799,20.7535,13.27343,21.66766,21.87054,14.23646,21.74119,22.86109,14.01545,24.70949,23.24479,14.6566,25.59276,23.39408,15.15477,14.31218,13.3246,13.18542,22.32615,22.6488,13.67014,24.4654,22.65606,14.00924,24.23051,22.76189,14.07908,23.97778,24.72841,14.69971,24.4201,16.22694,14.63923,13.58227,12.78035,13.36468,21.18269,20.33248,14.09923,21.13698,20.9486,14.66835,19.46843,20.79343,13.6473,15.15853,19.83852,22.07505,14.53891,21.5688,22.13482,15.60736,14.98954,13.98116,14.06915,12.93301,22.22399,14.15727,14.07793,23.2423,13.64484,14.38302,23.30285,14.05918,14.20877,25.56043,13.40771,14.21382,26.37101,14.72152,14.50504
3.274579021/529.175227,17.9636753,18.8896606,18.3853216,27.7978293,25.5851943,27.2913181,33.746785,30.2891319,32.3751282,34.5724704,36.6753061,35.0331938,39.658141,37.8014893,41.4556136,43.1600911,40.4616485,40.7205172,0.3070616,1.391792,13.6111377,0.3021032,1.0136961,19.1574516,2.2561064,2.3997864,21.1417576,1.2769024,3.0195153,23.0810814,1.6756326,1.3428538,25.6697533,2.2502208,1.2235435,26.0065611,19.4389634,20.6805927,19.9866372,28.7915137,28.2469951,28.0566206,31.173005,32.8168597,30.4309461,35.678553,37.7173405,4.7691271,34.4973128,37.9088699,44.5973059,37.0062843,40.6435227,43.9791736,39.7976665,29.825996,19.453365,25.6703114,22.8160752,29.4249668,31.7430952,31.6406305,32.331124,30.9826875,34.8420369,33.9356522,39.2093339,36.6190568,39.6764707,35.2293416,38.7840519,41.3131136,39.0736465,40.2302672
0.334892409/213.0167777,7.319709,10.959138,8.353485,7.884872,11.073495,7.712096,9.206401,10.813448,9.018085,6.290951,10.86156,8.231797,7.946989,9.885488,7.974852,8.076767,9.985851,8.119615,9.148091,11.912008,8.87243,8.156937,11.285432,7.821841,8.347923,11.871858,6.802076,6.909755,7.067296,6.426488,6.565293,8.280842,6.186458,7.913601,5.052753,6.041647,11.990637,11.996287,9.300735,8.991902,9.362784,7.230821,8.745769,10.410638,7.447797,5.515504,9.801349,8.741886,9.283411,7.180643,8.352377,7.781596,5.03322,6.08657,7.319427,8.244575,6.544612,7.388361,6.515597,6.785181,8.334622,9.205788,5.857996,6.709505,8.513814,6.175221,6.587937,6.871856,8.709483,5.076787,6.479967,7.128821,8.549018,6.039397
0.340415073/179.0557022,7.899673,11.713224,7.70312,8.470444,11.107152,8.004866,10.156046,11.525247,8.478663,7.509806,11.412265,7.820637,9.202895,10.521158,7.584788,8.954375,10.840856,7.685908,9.663469,11.813698,8.163893,9.450642,11.96572,7.645254,9.341736,11.129278,6.87917,8.229287,9.132682,6.487467,6.36045,9.344768,6.215919,8.619974,5.995875,6.101831,12.268161,12.861418,8.498517,10.211258,10.13636,7.31803,9.656012,10.791645,7.361506,6.027927,9.829684,9.894872,8.814635,8.193412,9.077819,7.541284,6.792563,6.816842,6.797647,9.302126,7.701992,8.807091,6.786776,8.359921,10.088712,8.794198,7.610233,8.052722,8.513207,7.343068,9.255643,7.538837,3.840339,7.017391,7.010247,8.851626,9.300418,7.233834
2.982384036/503.2140965,10.5983953,10.6417717,11.5689072,16.4291129,14.0988216,12.7646526,18.2281291,14.6911609,15.5621416,16.4394153,16.2813802,16.2069943,18.7800987,16.794643,17.5521183,20.2606146,16.8575615,19.1930557,0.3350379,0.5285415,5.9388377,0.3991359,0.2084419,6.6860206,0.6940993,1.0391028,6.7860485,0.7469106,1.3636667,6.6462468,0.8196747,0.2276628,7.5677313,0.6943145,0.2380769,7.1537519,11.1694628,12.7567112,11.8182936,14.305841,14.0733113,14.503706,14.9774773,15.3979869,15.3720623,9.7691936,16.2291037,1.5859044,15.625165,14.8962441,18.3314971,17.3614939,18.9259903,19.0994745,17.677855,10.8840111,11.5703087,17.4921147,13.4655412,14.7368374,14.4093077,15.9265471,17.5505245,15.0456139,16.524283,17.6658779,15.6873287,17.0503127,21.0199194,15.7493795,18.2486757,18.6688466,19.309975,19.0763877
3.026675328/509.2006343,10.1420713,9.9645042,9.7886262,12.4274869,11.4603999,10.1090441,13.3969801,12.3439068,11.996805,13.0719598,13.1463758,12.2699845,14.2237692,13.8742563,13.4667713,14.4302871,14.1877942,14.0956073,0.3504299,0.4032073,5.5934081,0.3823719,0.1934848,6.3004827,0.9319749,1.0582472,6.7125469,0.6147007,1.2763859,6.9214032,0.6710899,0.3902116,7.8430181,0.9681391,0.3856081,7.5021262,9.971503,10.9164859,10.0854493,12.0688162,11.8602588,11.5734736,12.6818278,13.061469,12.0354628,9.7437564,13.5821808,1.7100662,12.6335006,13.4610803,15.6799774,13.1608538,15.0689616,15.73454,13.8671208,8.9519446,8.995038,12.3139412,10.5776463,11.336284,11.4768405,11.5492485,12.6025091,12.1301138,12.3726201,12.9822158,14.3357418,12.5637813,14.5840582,12.7880786,13.2431418,14.2912325,13.9656712,13.4177649
4.352130363/242.1758206,7.797528,8.362971,6.919756,6.691488,6.813518,5.150021,7.122557,6.659414,5.313651,6.42925,7.085363,4.918815,7.542873,6.384959,4.979345,7.054025,6.467097,5.811613,6.793135,6.306918,5.804535,6.814264,5.933968,6.840904,6.919119,6.024433,4.731649,6.43395,5.88796,4.741988,6.066192,5.279714,4.490818,6.750068,4.167181,6.364894,6.25696,6.457639,7.326243,5.690816,4.943579,5.384441,4.955641,4.955049,4.953139,4.133326,4.770447,5.843006,4.623013,5.644014,4.500966,4.834391,5.642403,4.790464,4.356816,6.946506,6.221628,5.829793,4.960039,7.224571,6.827394,5.708222,6.261325,6.285752,5.73868,5.397897,5.639176,5.394219,6.220526,4.440034,5.120637,5.818644,5.668632,4.59793
4.512604632/299.131743,4.823875,6.029232,5.398983,6.176135,8.574524,7.837691,7.364659,9.143362,9.993647,7.223727,9.879555,10.313329,8.568468,9.684488,11.218445,7.765411,9.740066,10.845555,3.467635,3.480256,3.767486,4.947948,3.168669,5.383827,6.113017,5.589271,5.609165,5.5938,3.29083,5.331762,6.438553,3.493912,5.875874,6.3353,3.298229,5.333535,7.461138,6.258262,7.998413,8.886134,8.803454,8.426222,9.835818,9.033555,10.043521,9.87614,9.145996,8.267308,11.247814,8.305956,10.635542,11.447215,9.188505,9.315829,10.380955,6.35121,6.774476,7.699571,6.30418,8.662455,9.870693,6.415076,8.670611,8.798908,6.341914,8.160749,8.915731,6.722395,8.875281,6.980041,6.574268,8.32811,8.704772,6.64517
3.353579733/273.0975783,5.835365,6.326463,6.222125,3.043133,2.357818,5.546363,2.843086,2.713285,5.717881,3.017125,3.183988,6.685701,3.521636,2.662379,6.397816,3.468904,2.661525,6.899168,6.637247,5.964655,6.439768,5.318448,2.790006,6.682599,6.926751,2.736035,6.764439,4.943961,2.351231,6.792964,4.601104,3.469644,8.273468,5.251018,1.850444,5.715598,6.081168,6.385915,7.167548,2.704794,2.620957,7.244805,2.81847,3.005547,6.856121,2.816277,2.65159,6.408464,7.347372,2.854761,2.559848,7.285466,2.442761,2.692515,7.211689,7.054599,5.321547,5.589586,5.52808,3.135645,7.388452,7.003562,2.891026,6.727502,6.136943,2.487661,5.651609,6.487334,3.317361,5.524949,6.141079,2.497824,7.012306,6.106981
3.022431222/540.1304403,9.053911,8.2240206,7.5874558,10.0850142,8.9931465,8.1496739,10.5074987,9.4681622,8.7958152,10.7549978,9.9319753,9.2020229,11.48826,10.5441923,9.8629714,11.4157718,10.63362,10.2766464,0.1788666,0.1853214,4.8173079,0.3914791,0.1913903,5.4746887,0.7089122,0.6952435,6.1144594,0.5166321,0.9846404,6.1359943,0.5000284,0.4515243,6.8732665,0.7616458,0.3738025,6.5118353,8.1189952,8.9054672,8.0945587,9.6617261,9.4473881,8.8957081,10.1139717,10.6466901,9.0922535,6.9167784,10.3379789,1.1825591,9.175756,11.2094541,12.3188871,9.7555484,11.9476733,12.7187778,9.9458815,9.4820473,8.1858763,10.0869658,8.5184471,9.9183207,10.203413,8.7298541,10.6868421,10.2264738,9.7343633,10.4507197,13.6257803,9.7926828,11.7756057,11.6996578,9.6659227,11.5535783,11.1514483,10.2833604
5.331808579/859.5180756,3.9267799,5.3948194,7.451184,11.5502722,11.9052988,10.5785609,12.2877846,12.8799639,12.2055374,12.1047414,14.2815934,12.0566813,13.9321281,14.8025789,12.3337541,14.318215,16.1733013,13.7307952,0.200539,1.9689268,3.8533126,0.1973006,0.4458614,6.8171322,1.3371881,0.7204113,6.9234724,0.2008878,1.7109275,7.0389931,0.9080601,0.7111338,7.7890349,0.891107,0.7884431,6.6038693,8.4157686,7.1597531,7.5336877,10.0000115,8.8522139,9.8327015,8.9845815,9.1904719,9.5790766,8.0187427,9.1661348,1.1667248,9.5397808,9.8629827,9.8541672,10.1525746,9.7778079,9.0189,9.2959166,10.8779933,10.0944785,8.8008335,7.7349702,14.1199078,16.2542643,12.8536797,14.2181575,14.6656518,13.9008107,14.1337102,16.524189,14.2493878,16.9632309,16.2896166,14.1480349,15.4815367,18.119228,12.8201373
5.176986186/293.1753442,6.962545,8.440595,6.937661,8.166812,7.753895,7.601548,8.59484,7.997316,8.014543,8.091102,8.24946,7.967018,9.015814,8.293915,8.372433,9.255592,8.258978,8.368712,7.320353,7.024143,7.093192,8.31755,7.854349,8.186608,9.133854,7.761189,7.881473,8.475547,8.289852,8.677642,8.657647,8.199335,8.12568,8.865723,5.261261,8.203586,7.247735,7.00015,7.39778,7.550276,7.359492,7.996581,7.139837,7.402319,7.857068,6.676967,7.081161,8.857436,7.922422,7.315736,7.965559,8.514082,7.48099,7.690437,8.258844,8.61916,7.018347,7.275089,7.19328,8.031294,7.903918,7.826493,7.877492,7.188785,7.724271,8.163747,7.898175,7.474804,8.484435,6.861819,7.679511,8.456161,7.663698,7.60373
3.282686474/531.1716413,10.0828786,9.1820111,7.2253678,13.9005862,12.0165382,7.4270209,12.7124149,10.225839,7.1143945,16.9820638,7.9348266,7.846378,10.6545078,8.2642666,6.0888887,12.8621482,7.1835125,8.104344,0.2060656,0.213502,6.6970329,0.202738,0.2204938,9.3216246,0.8809398,0.6750041,10.6212243,0.2064241,1.3007971,4.1133703,0.2853108,0.4467644,9.6844247,0.7195906,0.4306441,7.9624342,9.3341474,9.992815,6.5985825,14.6598071,6.8387718,6.6613591,15.3105026,8.2876586,7.0541237,8.776797,10.2891086,2.1196474,4.9736055,14.0891963,13.7462273,8.3451818,11.1904374,13.3740648,7.7292668,16.1152458,11.2864246,12.8951081,9.0193269,15.5579515,15.5156987,9.5992757,16.3326138,15.3057881,7.0815662,17.2091343,19.6790778,9.7045812,20.4147072,17.6298849,8.919238,11.3088123,10.2823931,10.4996216
5.176548439/236.1049413,6.237466,7.573096,5.858341,7.314577,6.894522,6.393684,7.731724,7.1272,6.76592,7.250124,7.332145,6.713311,8.086971,7.447356,7.093113,8.249366,7.404791,7.056874,6.535582,6.285787,5.966831,7.478546,7.134951,6.940515,8.145764,6.946224,6.608824,7.555362,7.445328,7.337376,7.723168,7.331566,6.822624,7.944485,4.753185,6.867026,6.471708,6.195824,6.183214,6.721185,6.589148,6.793366,6.399594,6.59051,6.741151,5.748092,6.310739,7.973152,6.739353,6.543359,7.147116,7.223024,6.696202,6.881207,6.947548,7.262299,6.308721,6.502043,6.022278,7.093506,7.087949,6.546511,6.999435,6.393445,6.460802,7.048694,7.014981,6.283851,7.329496,6.06952,6.441909,7.333531,6.791812,6.363159
0.343164255/197.0218408,5.5300753,5.5616998,4.8052885,4.2412997,5.1335178,4.6013249,5.1589431,5.5527063,5.2062974,3.7646644,5.7034136,4.6548474,4.5407458,5.0893164,5.0952802,5.1519732,5.266324,5.1615178,6.3853413,5.3364374,4.6848075,7.661327,5.261766,4.3181453,4.5377129,5.2455894,3.7410903,6.0110806,2.8731085,3.5623386,1.9743679,3.9679477,3.6711635,4.7334465,2.2004065,3.4257549,6.2535508,5.679912,5.0867346,7.2085247,4.6110673,4.2862738,5.915765,4.9733321,4.3851782,3.9522304,6.4448395,4.3330357,5.0983624,4.4670962,4.2223522,4.9267986,3.3890633,3.1651727,4.6647868,4.2691859,6.276158,4.1323787,3.0632571,6.1852487,4.6195204,5.3124929,3.7715412,3.3975242,5.0473635,4.5858729,3.7321402,4.1104245,1.7796611,2.9141684,3.8635457,5.2505677,4.1116384,3.5083824
2.387393551/345.1297735,3.5111004,3.9774875,4.6711032,5.8528008,6.4781296,5.6241065,6.792068,7.0702001,6.4445534,6.541603,7.6391069,6.8061344,8.4651117,7.6873595,7.6671843,8.9821503,8.1648138,8.289119,2.2208174,2.443987,2.7894002,2.5658262,2.6364309,3.3745462,2.7819298,2.9871568,3.4094213,2.8425247,2.7820848,3.6507446,3.1811365,3.151457,3.9296842,3.4731432,1.9492003,4.0819799,4.8891337,5.0753812,4.7575491,5.1155479,4.9033666,5.1262795,5.3772275,5.7049431,5.3186189,5.1136813,5.9038394,3.8260396,6.056605,5.5470156,6.5033635,6.3729667,5.9425904,6.3661005,6.718911,4.96159,3.9551402,5.3951039,4.2671444,5.3043779,5.8840123,5.7887216,5.5914396,5.6510961,5.9543578,5.3284719,6.8502101,6.0891377,5.8153807,5.9822459,6.3493419,7.2194784,7.428383,6.7164095
0.327968056/560.5889657,6.935545,6.535109,7.27842,6.929784,7.822011,6.294131,7.181584,5.943161,7.488339,7.007482,5.350822,7.365586,6.596883,7.747752,7.303565,6.798557,8.004062,6.631519,6.757413,6.744658,7.310171,5.642333,7.535199,7.307412,6.552547,6.605875,6.252224,5.765194,7.802618,7.207584,6.204943,7.573518,6.701934,6.706565,2.403489,6.854176,6.666458,5.60265,7.472035,6.413502,7.734912,6.968486,7.193482,6.486313,6.696659,7.519329,6.983502,7.976398,7.297097,6.470573,7.689703,7.403013,7.313953,8.46243,7.878594,8.954528,6.071555,6.940952,7.339568,7.02974,6.169479,6.769493,6.132609,7.772488,6.892311,6.715375,8.036719,6.339349,7.433412,6.249038,7.040927,6.488297,7.893296,7.516269
2.606124684/153.0191022,10.0282813,11.0476383,7.1628416,10.6425569,10.0381861,8.9710463,12.7354651,12.0607346,10.6959691,12.339538,13.9972761,11.5172305,15.6697899,14.5168039,12.9339703,16.6952337,14.3583886,14.958936,0.8630886,0.8519187,3.8460017,1.6305427,0.8519242,5.2127898,2.8724169,0.9023122,5.8303308,2.418766,0.8735958,6.2098187,9.3681184,0.7654891,6.6368505,2.8958576,0.4902436,7.000027,10.0731612,9.4531337,8.3083461,14.1940372,13.2584365,11.606047,16.3481642,17.5138664,13.8460391,16.0334205,18.963541,2.1821727,19.0332497,20.1134153,23.0291806,19.0741744,21.4469606,25.1418642,24.7606568,5.9275818,4.9920829,8.6451224,7.5984129,10.3239968,10.4071286,10.7362944,10.3709972,9.6254448,11.6796269,10.3892001,11.5790423,12.1648713,23.486936,10.4469712,12.5675081,14.512594,12.8741624,13.1718673
5.225120292/875.51289,2.8250241,3.7230277,5.3575094,7.6115724,8.1025475,7.1259962,8.1510184,8.895386,8.171199,7.9622857,9.8446092,8.083661,9.3591994,9.9876366,8.1878663,9.612483,11.1293945,9.0994154,0.2134674,0.973405,2.8820587,0.2100203,0.2284137,4.4263836,0.4283139,0.2185,4.5739624,0.2138387,0.739919,4.6947722,0.2955589,0.2494762,5.027,0.2208493,0.2608882,4.3449022,6.295623,5.4907426,5.7149684,7.5238752,6.7434931,7.6679879,6.874538,7.2307791,7.7002596,5.9364753,7.228938,0.4549476,7.8078345,7.424602,7.8386999,8.4583512,7.6097904,7.0874395,7.6398171,8.2218038,7.7432827,6.5988961,5.7799835,8.2073812,10.4329389,8.537123,8.094327,9.6262905,8.758102,9.164817,10.9184602,9.1400308,8.8659625,10.4714527,9.4424944,9.9248747,11.5191383,8.5063675
5.176959986/221.1542914,5.159341,6.285694,4.789153,6.092863,5.768532,5.266219,6.398999,5.9348,5.54198,6.063059,6.103811,5.539357,6.721034,6.249615,5.837175,6.870528,6.201449,5.835238,5.455891,5.235632,4.921179,6.228143,5.934966,5.716363,6.796921,5.776264,5.471497,6.334806,6.246546,6.044792,6.440027,6.139301,5.616999,6.567768,3.940344,5.678503,5.355988,5.16643,5.092698,5.665193,5.508193,5.567302,5.267509,5.496481,5.514583,4.750238,5.256805,6.663792,5.530338,5.417072,5.943026,5.941214,5.59441,5.727297,5.773288,5.997562,5.211328,5.390515,4.948561,5.968897,5.865303,5.371229,5.849318,5.351711,5.3323,5.896459,5.83918,5.203812,6.170078,5.086001,5.300423,6.204149,5.68076,5.280198
3.725769152/417.1297992,6.2979727,6.1739273,6.6222098,10.8448276,9.0334941,8.9815325,12.7366508,10.414575,10.9919011,13.0564066,11.6473533,11.8167656,15.9774718,13.0200907,13.2004058,16.3439965,13.4225942,14.6882441,0.197929,0.8610992,3.8704188,0.7828767,0.440267,5.5407697,1.0805221,1.6454477,5.9948998,1.1918031,1.4463999,6.2678204,0.8280275,0.6711101,7.2432605,1.1972088,0.4136399,7.1104226,6.6807308,7.5995521,7.3592992,11.5355943,11.5577815,12.0199063,13.2679913,13.9242821,13.6055277,8.9581903,14.69392,1.6365788,15.6429682,15.5186864,18.7000572,17.5639994,19.1343242,20.6899988,18.6989293,6.1902639,5.8230244,9.74846,7.9770723,10.1838882,10.9275697,10.9205658,12.4755334,11.9253124,12.4538145,12.9106886,13.8072375,13.3057804,14.8785919,13.1849005,14.5747802,16.2189923,15.7877916,15.1062043
0.327734337/558.5916494,6.035618,5.592001,6.549729,6.016436,6.933366,5.575613,6.190628,5.078917,6.507147,6.126889,4.927934,6.421852,5.756018,5.343846,6.615745,5.851807,6.649679,5.902892,5.81765,6.180907,6.609956,4.978755,6.7456,6.519705,5.865428,5.779076,5.259694,4.95325,5.715879,6.121157,6.262509,6.712382,5.890259,5.845895,3.323917,6.114183,5.746932,6.133179,6.482961,5.54998,7.188987,6.131041,6.128373,5.366364,5.794742,6.666238,6.207915,6.017257,6.368258,5.750581,6.652563,6.362996,6.434165,7.134856,6.929234,7.917301,5.537794,6.239269,6.411489,5.995923,5.086404,5.902221,5.22903,6.714997,6.171348,5.848636,7.171501,5.458458,6.522873,4.833491,6.14504,5.88763,6.568327,6.922009
0.341665876/143.0345726,4.878422,4.821003,4.240526,5.347841,7.036156,4.754045,6.118543,6.776154,5.303138,4.601274,5.145335,4.484648,5.512002,6.508588,3.993885,5.283509,6.251556,4.07962,5.966149,7.108661,5.166861,5.57343,5.579371,4.518487,5.469367,6.193999,3.934166,4.597417,5.629068,4.160304,3.410955,5.508353,3.641177,5.265297,3.314752,3.457481,6.778827,4.438302,5.348504,6.01032,6.274948,4.706138,5.942304,6.186261,4.337462,2.344116,6.210457,5.501083,5.466012,5.185565,5.507362,4.41959,4.080736,3.85267,3.836135,5.889006,4.454124,5.418152,4.07679,5.106317,6.214221,5.174991,4.609791,5.215474,5.307518,4.67593,5.928765,4.540942,1.386085,4.083803,4.409296,5.140116,5.689609,4.322329
5.506141636/293.1754539,3.929144,5.985509,4.290919,4.188844,4.049553,4.196863,4.505871,4.290904,4.680589,4.310832,4.378065,4.57767,4.848502,4.537016,4.672345,4.974535,4.603144,4.653445,4.149941,4.455427,4.275778,3.873192,5.675346,4.717912,4.31586,4.35335,4.737265,4.119529,4.769178,5.253395,4.771456,4.827365,5.443479,4.199258,3.096755,5.583063,4.524785,4.369971,4.354121,4.175982,4.224464,3.650226,4.155403,5.366695,3.560284,3.077334,4.095231,4.887826,3.671167,4.0964,4.074449,3.677445,3.995461,5.455826,3.709097,5.424165,4.467596,4.647198,4.484064,5.50858,4.308881,4.815047,5.72451,3.97666,4.93351,5.463442,4.942448,4.885519,6.2932,4.256993,4.721469,6.748116,4.401807,4.629841
5.191372825/428.9617007,4.640043,4.659803,4.504404,7.137905,7.078195,4.534211,7.41491,7.496945,4.853243,7.453034,7.820049,4.802403,8.44694,7.951413,5.031006,8.749116,7.987191,5.183759,4.876209,4.544195,4.481167,7.644791,7.718418,4.678601,8.383146,7.705524,4.773107,8.297982,7.783837,4.813787,8.242653,8.481528,4.998166,8.368805,5.536899,5.012042,4.650349,4.362082,4.518738,7.227946,6.934055,4.762605,7.25338,7.193745,4.938243,6.622941,7.122622,4.653656,5.128338,6.78827,7.504595,4.910051,7.378853,7.496106,5.292873,5.130555,4.776054,4.788679,4.413813,7.602944,4.823502,4.812248,7.948297,4.655831,4.909508,7.991249,4.781195,4.882799,8.760487,4.555051,4.832962,9.018368,5.007983,4.911616
