Sample,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Bt_45hr-pseudoSample,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-pseudoSample,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
Phenotype,Bt_1,Bt_1,Bt_1,Bt_2,Bt_2,Bt_2,Bt_3,Bt_3,Bt_3,Bt_4,Bt_4,Bt_4,Bt_5,Bt_5,Bt_5,Bt_6,Bt_6,Bt_6,Cv_1,Cv_1,Cv_1,Cv_2,Cv_2,Cv_2,Cv_3,Cv_3,Cv_3,Cv_3,Cv_4,Cv_4,Cv_4,Cv_4,Cv_5,Cv_5,Cv_5,Cv_6,Cv_6,Cv_6,Ps_1,Ps_1,Ps_1,Ps_2,Ps_2,Ps_2,Ps_3,Ps_3,Ps_3,Ps_4,Ps_4,Ps_4,Ps_5,Ps_5,Ps_5,Ps_6,Ps_6,Ps_6,BtCv_1,BtCv_1,BtCv_1,BtCv_2,BtCv_2,BtCv_2,BtCv_3,BtCv_3,BtCv_3,BtCv_4,BtCv_4,BtCv_4,BtCv_5,BtCv_5,BtCv_5,BtCv_6,BtCv_6,BtCv_6,BtPs_1,BtPs_1,BtPs_1,BtPs_2,BtPs_2,BtPs_2,BtPs_3,BtPs_3,BtPs_3,BtPs_4,BtPs_4,BtPs_4,BtPs_5,BtPs_5,BtPs_5,BtPs_6,BtPs_6,BtPs_6,CvPs_1,CvPs_1,CvPs_1,CvPs_2,CvPs_2,CvPs_2,CvPs_3,CvPs_3,CvPs_3,CvPs_4,CvPs_4,CvPs_4,CvPs_4,CvPs_5,CvPs_5,CvPs_5,CvPs_6,CvPs_6,CvPs_6,Full_1,Full_1,Full_1,Full_1,Full_2,Full_2,Full_2,Full_3,Full_3,Full_3,Full_4,Full_4,Full_4,Full_5,Full_5,Full_5,Full_6,Full_6,Full_6
0.336010655/215.0323248,2019211972,1172740815,1791639959,1814080678,816026652.2,1559428044,2270179204,575174789.7,1233557180,1877039988,1217836809,1095413286,1686240856,1430682561,1345178848,1280566769,1228739435,1254653102,1884318074,1287064141,1288289447,1422716839,773009065.6,1465769422,890323889,1030348455,256279595.9,1083241050,685757958.7,773563873.4,313117499.8,702837954,378285066.3,30449423.84,432870518.4,264008034.9,53212880.5,286722177.9,1308885972,1418664793,1363775383,1542349360,645435953.6,1234067816,1583839698,575689952.8,1415210862,1361847473,1386535999,1046736338,384745962.6,306992068.3,991200505.8,1534952566,702917760.8,635152695.5,1059242357,2695584147,1385572029,1221262246,2332193159,1163162372,1718223252,2326238062,1458334561,822905257.2,2180421913,1253726940,1338308277,2022855073,1105531965,1252605324,1788732921,1132479159,1452977195,2177207247,1400950130,1390862568,1974153686,1127602821,1287139163,2301268480,726467895.6,884035371.7,686339436.8,716874707.4,252637941.2,952458529.8,649515807.1,1122234132,238959664.1,642448085.5,2705346521,2775039095,1434982808,1636653027,1706595230,961719274.6,1597444326,1817923779,1075439833,857565467.8,1768356809,1430493026,1337821140,1007817000,1102271603,1121113895,534570255.8,636290872.5,904070860.2,668323210.8,859605999.1,1077236071,851889321.8,914662081.3,1268463139,1498931392,872753064.7,934350769.2,1197627739,885956756.4,598393865.5,918277862.4,119184246.5,542492891.4,750160779.5,1137749384,1484440481,703638839
0.33606146/217.0291693,685917802.8,408405555.2,602496853.3,607627565.1,275736091.5,523216545.5,770869836.4,184014861.5,413799356.5,630436873,405720889.7,363835062.3,616010085.6,483569773.3,401978924.2,435769199.2,418110949.9,426940074.6,634516101.1,435770325.2,433057081.6,479179450.5,262422791.2,556792725.8,272802205.2,348491399.4,87663828.46,363633498.8,232452732.3,250462437.6,106100347.6,235881914.7,127261718.9,10734046.96,153657199.9,86894415.93,17609070.19,93223967.19,448955743.3,482826562.3,465891152.8,520256687.5,218766403.5,438116093.6,485370300.9,196509697.4,474859882.8,462549717.8,456812255.9,351324513,126340960.5,104845116.1,332567773,500792502.5,247826838,211992887.6,348609428.7,912945219,429115752.6,434760927.1,737523536.8,389968445.5,583162804.8,785515052.2,438630486.5,280324012.8,889677743.3,422313149.1,407440825,629922147.6,370261609.4,423972126,606632005.2,380706632.2,530307833,735450391,452942840.4,468917733.6,667321451.2,378330476.1,426070234.5,754428808.4,249623820.8,297273352.5,233053864.1,240512740.3,82824658.71,323488251.6,219997943.1,381663051,80777576.88,204593976.8,914200399.7,941996241.4,476935228.5,554931713.1,574301919.8,336085752.9,540975016.5,612951116.4,361036166.5,282547278.9,596651582.6,550616830.9,451065167.7,342429560.5,371905271.8,377441939.2,180768916.8,225884243.3,305031588.6,225875042.1,299021884.7,366137366.4,304191283,316386753.1,427704134.6,503321428.1,288192418.7,307742133.6,402584148.2,294550857.5,202228879.3,307222735.9,39593205.37,183997804.5,252734920.1,383685308,502582315.5,237130535.3
0.34510363/376.100727,280346848,400205369.4,370721894.3,305228071,338334840,412040702.7,363258452.3,298942477.6,263483975,357752046.4,510039303.6,181253334.7,314042506.7,596788719.5,264642238.6,292887293.2,437976454.7,365431874,271772842.3,466875724.3,291404363.3,526193998.1,589080169.1,328163353.2,120145805.6,180709755.1,219027850.7,125648749.1,36612706.21,119165789.7,253830264.6,157133072.2,150213074.1,16238081.39,110941489.9,55329898.85,36830517.57,68583062.35,259651119.6,606287152.8,432969136.2,603823265.4,384841269.9,285788705.9,201622412.3,276995265.9,356856154.4,467435715.5,628789200.2,246253983.6,17142864.54,163615255.3,127997588.1,309766230.3,283538919.5,107415932,103955967.7,810038312.1,219107510.1,287176117.3,988267098.3,208088400,536144982.8,913349430.1,283403944.3,144635458.7,1002446972,274508657.7,395271315.1,895474383.1,238208959.4,312581892.6,954241003.4,237684184.7,265385154,602890762.9,390026327.6,278490654.7,557236473.3,238205659,299185962.3,640890405.7,110661238.9,83521714.03,295366976,153437459.9,19557762.42,410827241.3,70838392.58,211207976.2,18357407.75,90182346.48,843640868.3,767640420.6,430936185.7,263601971.9,776864185.3,258556842.7,326240320.7,1263576929,302121984.8,79438353.57,363185156.5,561427588.4,568101774.2,125270058.1,739770889,364499948,181650103.4,694586376.1,508724991.9,438792967.1,70268288.74,497031073.6,117021225.3,71006723.69,870135256.3,365984732.4,177316725.5,516198308.8,251042076.7,155039734.3,630381991.1,149725537.2,4105947.91,270431219.2,123635832.9,223190501.9,683004159.5,187558814.7
3.026907178/487.2190999,289000.7528,80594.6544,52551.87421,129992.8829,83428.33435,27826.99046,24513.69633,69540.40515,81730.70671,21900.75132,110467.3814,352242.5498,256857.2311,135658.1428,219785.6846,133478.1902,179728.2173,156603.2038,137457228.1,95684830.08,121449994.7,812782567.5,488383054.6,1113310137,215239440.9,864547153.1,211418965.3,1204625962,457102962.7,1016005946,392407859,1358335582,895197545,403933264.2,1544586930,1985896119,261680183.6,1314876206,50130.41532,121843.8984,85987.15686,416901.8508,118979.4178,131811.5762,318130.018,43268.32364,143396.2141,354895.3915,76519.83198,32546.61573,24994.39017,180638.8652,243090.2451,414032.1913,77191.45462,183875.2772,511959787.5,423163358.1,451053132,1136326784,676210636.4,554496126.9,1522812420,928737022.7,897821996.9,1284760229,1153883813,1113940106,1780319710,1259950242,1394171531,1998720017,1382806610,1844725575,69811.32471,134158.5908,46858618.81,80320.06676,27804.54069,69986365.62,297554.5528,406241.2878,86809187.04,161340.2446,312974.9986,95358229.02,152338.1207,50425.22804,156900367.5,293154.2877,44265.21852,136831630.1,379419508.6,526505970,397284198.9,990199551.4,870368628.3,879202495.2,1186065659,1173230211,1128509950,568337888,1536826196,1059903.412,1277723974,1478174794,1668901819,1602445023,2177767786,2106901898,1943926216,103374681.4,397751918.8,1044037602,635888807.7,873072281.4,777750075.5,856306672,1292899236,972561914.4,1042891435,1381719959,582492862.7,1135952845,1505116163,1165565015,1458322487,1998693952,2245924619,1474445003
0.345001121/378.09744,85332018.38,123648500,115212260.6,93045617.96,106939586.9,129940928.4,112775127.7,92776294.42,82888437.24,112044263.4,156173626,56527947.76,97679654.28,187011066.5,83770676.17,93808174.9,133830238.7,113819206.8,85682556.14,148559209.7,90259101.32,165173174.6,184668545.2,100969818.8,34677458.17,54742344.44,68118947.74,39681720.02,10464965.69,36714544.37,77859037.37,48670803.07,45800324.43,4920459.031,34736597.36,17309412.49,11286797.36,19961694.9,81765482.11,191922246.4,136843864.3,188500540.7,119048650.6,91340339.83,62560773.79,88002591.43,109923458.2,142866085.8,196751103.4,76100437.27,5065969.915,50197206.62,38216513.65,94468990.26,87722759.37,32590487.03,32913492.79,254552539.2,68947223.16,89639034.1,306793451.7,64422735.64,168753020.2,281420980.9,86425051.69,43631240.81,312362604.4,85005514.87,124430129.4,285107681.5,73719632.55,95528569.9,298814339.2,74041125.31,83547824.24,189273403.5,119243067.3,86922703.09,174993642.1,71559803.37,92338082.6,196704424.4,34913943.62,26812043.41,93030844.2,47480967.86,6080579.984,128151850.7,21604522.93,63939666.5,5673391.948,27881989.12,261468576.8,240292076.2,138990212.6,82111756.2,241849209.3,80409851.69,101204062.2,394903176.4,93932612.52,22280833.36,112413063,172952951.1,177407486.7,37561032.42,230193518.8,111505050.8,56037758.65,217064550,159816044.3,136247046.7,22441988.91,156979730.2,35612311.06,21320024.85,275909841.8,112681047.6,54315185.97,160797713.1,76930955.49,46678923.41,198723457.5,46739394.38,1113143.094,84865698.67,37546929.64,69153911.84,210275769.8,58284332.9
5.191131245/426.9670562,60471586.52,32553037.13,73269398.98,271989571.3,25843825.11,59669639.41,233763059.2,18730993.49,64790281.71,252732769.9,44273030.5,68925736.73,296792612.9,58336474.64,69644516.29,242812634.1,67920743.3,155366688.7,61675935.99,39587884.09,58474902.88,229245909.3,127952333.1,70501478.24,254838611.9,215053815.3,37813152,65418395.04,318806083.3,171816705.8,60646967.2,65934581.9,136601906.6,29547706.11,56468533.75,254936347.5,26174025.69,43864766.69,46084861.01,58965332.58,52525096.8,267331867.5,76693498.94,68004263.8,259144092.4,91327157.51,80220878.61,276756515.9,235597864.8,69538335.85,105798614.8,8927369.592,83204729.92,237972123.8,114181191.9,50069590.76,74908837.3,74796278.43,75748384.78,259282283.4,254609655.1,75172876.39,297464088.6,304170920.8,83215844.17,274806176.7,330867809.6,83980283.34,384645836.8,313020333.4,90680192.22,449782110.4,316712261.1,102846198.4,83579795.94,60639767.13,68507410.96,333147539.9,270363185.5,74045249.68,377599431.6,309155621.4,75049943.12,403466223.3,160976248,74778516.34,148072107.7,270071889.8,85051720.14,374914818.1,66730603.74,86294977.29,68973378.99,53196331.95,64176462.86,276124003.1,243431203.6,80636324.76,272507127.4,258053814.4,97917210.27,338369276.2,264610288.3,64601891.38,103323266.8,205526978.4,206239548.2,92676795.73,251526823.4,245887842.6,116101523.1,36299124.82,86846231.59,75611405.1,66577702.57,318571825.5,70831740.89,81588615.85,347832118,68967488.45,83026487.9,361421291.8,28308320.66,77980889.05,359675332.5,58407604.17,80973795.2,502569482.5,107983377.7,78892420.8
3.274579021/529.175227,132676.5906,73372.84165,21085.6106,5680.082024,59322.43514,13495.5304,0,53387.9232,67246.22123,0,63229.85623,221217.1394,225718.3143,161122.4123,137586.2066,61133.49179,156444.6946,108789.0932,53450818.21,46115147.67,78939703.75,572410402.6,457947479.8,614993792.8,740406871.6,742309863.1,192091459.5,908631160.6,1397449502,927652517.8,433126188.2,913474555.1,860113315.9,330516698.4,966110010.2,1315071450,204203175.7,901995403.3,4861.243364,80601.21342,42731.22839,297709.1563,70556.80395,65184.28947,73399.11442,5513.332567,45032.48538,210002.9577,14006.52899,20232.22698,0,214442.8236,72102.12993,380717.5317,4126.965071,235396.7192,170875550.3,202368282.1,202561985.3,618981818.7,477053241.3,653408743.6,1123816597,807978049.8,978665045.9,1105014790,1366107854,1311583168,1590254351,1346240079,2051933146,2157237024,1638617678,1995171404,0,69106.34978,75359725.94,0,24240.13467,203794123.2,296110.0754,367402.4013,257946499.5,59046.26851,375793.0677,329474903.6,50533.88325,43249.09275,452920018.2,293336.1399,28607.07709,483814840.6,202201256.6,225394203.2,214644129.4,693353054.2,652712535.3,635404893.7,874147981.6,992056961.1,874303012.6,2082665514,1579252793,2756905.099,1217817601,1434047394,1700562433,1528276898,1682986525,1928636763,1924963469,285967148.8,233940590.8,459279484,365555023.6,739417022.2,798430601.2,926293912.3,936255885.5,807414622.9,1180257424,1116233958,614047902.7,1334873909,1345256554,1059545017,1645020531,1932321977,2019067439,1683205109
0.334892409/213.0167777,28166212.73,11602859,31224789.55,24477294.21,5617814.441,27940676.73,28841500.38,2242093.771,17464005.22,25939889.14,11893438.26,12361374.76,25174091.46,17344278.84,18688901.96,12663864.39,14684908,13674386.2,23366917.46,13613347.07,18937966.96,16622750.32,4658369.046,25226312.85,8270522.777,10612690.75,248914.2635,10695149.53,5192092.198,4775157.43,3702623.007,5467741.05,935095.4887,33348.34258,1700575.22,347368.5925,24443.94903,982667.3263,13730140.09,23016248.5,18373194.3,20104376.06,3627640.072,20194738.42,18329997.61,2980702.704,20275731.89,13414388.09,16324678.68,10766298.68,28396918.16,837303.8041,12574899.45,17300038.42,4591072.769,3367207.168,11560478.59,39518380.45,18999723.77,14126322.45,38677183.5,14744454.27,22817488.48,36764756.89,21151564.42,6657722.126,35484632.42,17015339.16,12796090.34,24076318.8,14607673.5,14137202.11,24632144.13,15817823.25,21826066.71,43326130.04,20872949.19,16247115.97,33447702.21,13870923.89,15000636.15,44481591.61,8590743.482,9356370.511,4818334.768,7111726.244,3039544.907,10141783.3,6339902.51,12758883.1,2014649.172,6065917.019,47456021.95,43994093.97,21629755.74,21121055.28,23769510.72,10876952.8,19303807.26,31672154.59,12817377.87,7694021.457,27713161.12,16979330.94,23732809.56,9746103.788,11171128.52,14209594.01,3196276.558,5112427.392,11975148.36,6039988.594,8907852.216,10950347.67,8513195.714,9066211.939,14452638.24,22813730.83,5569028.818,8199942.902,17220215.89,6725802.362,2912609.303,8821470.207,14229287.38,3170828.685,7672382.039,9928159.73,21146946.06,5694546.138
0.340415073/179.0557022,35414050.02,13863741.71,19040344.73,31081448.4,9612852.502,22595593.71,36122508.18,6428535.927,14791306.54,29840408.53,19112448.06,11797553.59,31114701.33,20691420.55,15858392.32,19857218.03,20821109.13,20339163.58,33640193.58,18471667.44,13170983.15,21555148.29,9020439.919,17249789.33,6933594.731,13969041.91,2133403.071,8669351.887,4570047.54,7740284.42,4198352.798,4904801.362,2917369.968,151177.7455,3305017.188,2547279.148,385194.038,2161336.896,17859450.74,25610295,21734872.87,24530244.35,7169732.988,14062826.16,26528443.52,6525562.038,15649109.35,20881505.3,22280957.49,11318970.32,3898879.24,2745607.376,10260966.82,21577250.3,9295793.658,7841526.187,14531878.51,48250223.94,14898558.14,17513127.12,39030926.63,16488210.79,30631779.1,44513300.29,17578497.44,11325646.15,41160370.81,14590931.98,19872062.64,29025944.85,12567345.63,19264451.11,31516475.82,13416085.76,25726651.99,42262241.54,16261024.91,25268462.98,39868346.86,12952517.05,21021186.61,36645885.72,8886169.18,15805419.73,10397573.72,7316097.144,2763820.885,14574594.46,6430911.219,16489523.42,3366456.388,6249007.064,50827984.69,54215115,16501723,30931337.74,30161384.93,11275272.83,25980189.51,35278369.12,12377004.21,10043885.31,27954200.69,24622701.7,20316055.65,14478894.06,14342052.66,12933362.72,7856109.926,7182224.029,9592361.807,8675167.817,14518795.94,18547317.46,9621006.993,16956960.64,25632831.24,19888506.13,12210289.3,14176449.24,17216534.35,11308870.97,8077066.923,11647478.36,1219873.313,8373998.876,9714303.45,19005744.54,27227415.62,9785519.719
