Sample,1mem_Bt_12pt5hr-2,1mem_Bt_12pt5hr-3,1mem_Bt_12pt5hr-4,1mem_Bt_25hr-2,1mem_Bt_25hr-3,1mem_Bt_25hr-4,1mem_Bt_30hr-2,1mem_Bt_30hr-3,1mem_Bt_30hr-4,1mem_Bt_35hr-2,1mem_Bt_35hr-3,1mem_Bt_35hr-4,1mem_Bt_40hr-2,1mem_Bt_40hr-3,1mem_Bt_40hr-4,1mem_Bt_45hr-2,1mem_Bt_45hr-3,1mem_Bt_45hr-pseudoSample,1mem_Cv_12pt5hr-2,1mem_Cv_12pt5hr-3,1mem_Cv_12pt5hr-4,1mem_Cv_25hr-2,1mem_Cv_25hr-3,1mem_Cv_25hr-4,1mem_Cv_30hr-1,1mem_Cv_30hr-2,1mem_Cv_30hr-3,1mem_Cv_30hr-4,1mem_Cv_35hr-1,1mem_Cv_35hr-2,1mem_Cv_35hr-3,1mem_Cv_35hr-4,1mem_Cv_40hr-2,1mem_Cv_40hr-3,1mem_Cv_40hr-4,1mem_Cv_45hr-2,1mem_Cv_45hr-3,1mem_Cv_45hr-4,1mem_Ps_12pt5hr-2,1mem_Ps_12pt5hr-3,1mem_Ps_12pt5hr-pseudoSample,1mem_Ps_25hr-2,1mem_Ps_25hr-3,1mem_Ps_25hr-4,1mem_Ps_30hr-2,1mem_Ps_30hr-3,1mem_Ps_30hr-4,1mem_Ps_35hr-2,1mem_Ps_35hr-3,1mem_Ps_35hr-4,1mem_Ps_40hr-2,1mem_Ps_40hr-3,1mem_Ps_40hr-4,1mem_Ps_45hr-2,1mem_Ps_45hr-3,1mem_Ps_45hr-4,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
0.349444206/170.9018434,421383.1981,592200.1806,596700.3604,473757.3633,438527.2338,117963.7845,63493.64146,623406.3591,834096.1808,722860.2908,551549.6561,859312.8478,570074.129,173360.7723,947045.7811,492128.9706,38835.09668,265482.0336,553408.0656,498828.1873,627727.5207,396247.2984,707043.0221,98029.29978,296491.914,408772.9942,506529.8957,286409.3838,141783.7176,458108.7227,354361.2243,312510.4227,164001.9558,68067.71696,298855.9524,14713.74523,301769.6162,417084.4248,710779.4398,382525.8027,546652.6213,608703.653,391986.401,704079.7373,472277.3663,409327.6655,683371.3665,636327.3147,404695.2203,711908.7664,670549.2001,395056.7116,772374.0763,745409.6137,431393.3594,1252681.534,344198.1884,28299.18771,727010.422,583426.9643,232439.1087,1059164.78,593943.3998,495878.1362,138511.0565,603846.2138,141919.5037,217027.0563,540004.8694,724171.7626,417690.7811,487377.5444,283181.4823,618234.8645,515274.4424,23226.56309,461385.8037,896087.0426,334874.0022,690897.8451,826411.6284,203355.5831,1055122.725,965065.8419,544172.916,530560.8205,1013294.045,530588.6963,766791.1479,729787.5404,1604600.472,633173.0481,47916.10736,372901.7179,817676.2204,625843.9196,74089.00838,714555.5138,444961.7986,27072.78625,874478.1648,56853.60503,369812.6456,23074.2246,640966.209,676117.7423,28693.81369,391099.6936,342974.0206,14462.84397,202855.7711,41508.87439,608034.7269,693832.2651,796141.5364,616702.3795,684538.5565,767507.6293,844889.3465,328553.4746,1126200.527,660857.6316,663102.507,1207226.878,423736.5625,574339.551,770562.0197,620087.9305,59098.88446,615486.3747
2.622515147/609.132396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625576.1415,358386.5497,526774.5103,1173207.87,755275.9204,1286050.875,1596822.92,1848871.704,186629.1865,3308146.993,1014196.705,1010034.894,273094.9727,1648875.153,680171.747,691906.2296,1114536.213,1934763.214,145366.9343,114963.6768,0,0,0,0,0,0,0,0,1817.562746,0,0,0,0,0,0,0,0,0,153812.6116,374680.1824,544406.7074,472818.5774,883645.9733,471119.4911,64713.4358,2326432.58,86772.73618,825947.1291,5735139.515,3052176.392,1551106.448,2905803.56,345914.1826,2256257.276,287040.2682,5859059.874,0,1268.319442,21648.32029,0,1144.723054,284597.8261,0,1593.114471,189136.8804,0,0,294388.6089,0,0,715313.4709,0,0,642412.4405,630762.6195,727397.5039,274223.6679,1130498.236,1322238.316,57405.06623,1950721.033,3694354.952,2018755.066,845083.3886,3837205.276,0,3564812.014,150342.2073,2429923.011,2636400.529,216558.8599,3587477.253,447039.7211,91120.07438,241992.4744,311099.8634,202700.3656,42292.07595,40868.6796,1258878.811,26648.14986,1166554.925,70388.94606,1143403.619,631967.432,86491.5313,2479567.255,1308500.191,2883639.056,78697.23728,4675111.71,151191.5319
3.030614693/563.1409803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326743.26,265638.3943,333622.445,848755.6829,606357.2137,923977.1969,400793.2886,851434.7154,313344.1983,1086239.44,554562.4192,844227.245,540980.8439,954845.6795,776676.191,425353.1621,1021106.235,883674.0841,360394.3032,852458.6732,0,0,0,0,0,0,0,0,0,1314.355618,0,0,0,0,0,0,0,0,516215.5181,610462.3179,595511.1639,822292.871,874227.2665,536406.0366,903409.2444,945253.3786,870315.9702,801356.3103,985443.1098,782960.1608,348021.23,1212329.915,831742.8985,929805.4975,1233937.728,890260.8596,0,0,134739.1492,0,0,173088.3208,0,0,161789.1233,0,0,207654.1821,0,0,257052.2151,0,0,235646.6948,562714.2055,725230.625,693939.726,676764.9627,782836.5532,752033.0318,713289.4948,879885.7708,841801.9901,475090.5307,777722.5053,0,1022232.122,752620.2833,1117958.2,850603.8737,741102.2501,1047700.516,1034383.039,185764.0173,331012.4492,756448.7518,594558.1027,509129.5672,613132.1616,766020.5464,683394.8602,739670.3602,800051.986,746115.1905,585851.4565,791464.3472,466809.9051,642044.9741,815211.8666,768058.5198,992569.601,747625.7374
3.94912109/207.0694219,469828.5949,282899.6329,631636.4218,2337990.871,134078.4999,411278.3127,3045301.887,110793.4386,444383.8364,2288309.814,273191.3311,441031.7585,3466447.384,452980.6582,501127.9187,3159272.596,329878.28,1744575.438,331747.2168,348405.0747,315592.9109,2799187.981,1529918.866,464760.7573,3300808.5,3127886.368,478240.8646,250727.5499,4049333.379,1964078.056,879983.6379,450460.8437,2141439.859,467550.8369,386874.185,3156816.532,420273.2386,401219.3093,363783.5189,433104.2333,398443.8761,3911215.131,928678.5395,443044.5382,3469333.734,916059.2021,435893.6089,3013392.107,3045320.122,289609.6717,1332749.803,38271.11518,466943.3488,2921602.229,1250458.722,220163.576,547092.2115,724447.7252,781573.5182,2896999.874,3197806.309,742948.5392,3892730.429,4205796.369,754907.7806,3014429.799,3950122.877,716996.1755,2843103.475,4497003.208,782691.4886,4379213.652,3438422.491,855314.9909,642304.5386,418531.4489,647181.4061,3603267.287,3471722.959,535343.6283,3728186.329,2757395.579,567293.4457,3851467.103,1880065.988,538350.9992,1430664.46,2782942.447,582323.5838,4104773.015,137237.3616,680550.574,480071.755,325763.5912,524247.7319,3375579.801,2864414.917,465875.6922,2995241.531,3392142.683,477230.0413,3340030.107,3337483.705,583462.7103,524115.9637,2477347.92,2367743.933,559353.9328,3484263.144,3151607.635,644916.5012,496533.3343,844281.9013,722998.9602,725683.8352,3246627.452,523546.8418,782116.9683,2954655.621,419365.0989,789928.7776,2663015.158,242752.7868,650915.6163,2667286.675,432173.0204,739463.5442,3544580.334,837293.1791,695105.8699
5.18953617/486.9225291,358326.8828,149761.6304,337895.3333,1633919.853,126424.2423,273657.7641,1423290.125,106119.986,298114.6157,1428017.124,224716.5425,264939.5057,1790231.355,288369.9059,329844.7519,1335843.626,313155.0686,824499.3473,363974.8927,192686.4613,306464.517,1265979.138,839073.4634,303166.713,1198473.991,1207913.172,244459.1209,301598.8786,1437341.733,945268.9484,373788.2003,239411.4053,855796.9772,192310.5163,269818.7573,1555699.73,148786.6646,183730.3966,247575.3194,282011.878,264793.5987,833754.1992,472663.285,259546.8873,1566727.589,594253.8473,96559.40231,795903.15,1174565.836,91153.80662,487290.7409,30581.71586,115790.648,640846.0165,603521.599,26496.63976,529749.1334,396009.5915,324816.6245,1400336.982,1309324.349,305862.1453,1456036.16,1424558.06,345971.9266,1479599.092,1505357.621,342045.7501,1884278.894,1394429.088,332866.365,2196417.057,1411371.833,374103.8992,534070.5899,297501.9611,327192.5657,1935162.334,1413392.896,304075.4922,2181775.827,1455539.806,286173.0996,2195581.604,863794.8168,304446.0392,905686.5226,1371180.981,348650.8449,1917121.422,454679.8014,304071.9677,320361.8351,264840.4779,310690.9391,1888998.03,1215033.698,51352.18497,1204765.042,1041719.374,46328.88884,522543.881,974084.0623,317415.1872,30216.88021,1029004.963,1014903.638,216802.5431,1063431.39,1053804.455,21492.43133,196629.769,524337.3349,407517.7096,266462.4453,1859717.103,407503.9798,330131.9943,1794438.049,317220.47,337966.5524,1831437.906,147030.1163,326808.0153,1647275.099,327178.9145,279724.9162,1973772.253,403741.5387,141976.466
3.035680328/192.0664434,553137.1634,476333.1297,790061.5426,606218.6422,336273.0554,816821.0204,730957.1217,244091.632,707166.7012,720079.0059,594037.2348,669956.335,630998.4649,755643.5137,702040.2995,694756.5739,781709.8203,738233.1971,572134.2767,556320.5654,675048.4763,688820.6735,431370.3865,664446.8087,977957.0294,650448.1551,143701.8152,514391.2626,982941.8104,429011.5428,200889.2958,482878.0784,400193.3502,42754.87616,483055.4784,172905.6372,58360.32361,347194.821,510459.1812,729629.4696,620044.3254,850137.3358,240167.0286,702301.4122,499317.2422,265277.3662,759171.5228,740796.5374,668591.0995,673665.2951,149744.4127,118048.534,627557.4925,701371.4798,343770.1154,423782.7014,380966.4384,955246.2119,656768.3175,553233.8148,892781.2449,658367.8856,653519.1202,908843.8973,602478.3931,455743.5025,790680.5928,586550.6278,678287.6353,795338.2837,529968.8269,743329.2092,719311.6328,514370.1146,587269.4212,897241.471,782406.091,501258.8378,841912.1763,658549.8683,680476.7372,930664.1147,552632.0861,318055.6855,379887.7813,618528.9159,170550.3654,572947.7559,496740.1176,628080.2825,162551.4296,572322.8524,926736.3416,822929.0345,713212.6838,523670.5346,788753.5701,561695.6566,610231.674,857733.0067,605521.9806,1073948.451,690216.2509,883502.2423,756825.9171,428933.6212,601442.1817,647020.0124,538406.0259,586876.9571,1035933.683,322234.6199,382589.7407,661376.6142,556789.3438,248533.8877,756356.2633,624647.8905,440305.9461,614959.0423,572355.1571,384907.4653,284069.8979,498606.7932,260298.5257,515596.5258,441727.8341,515352.5787,741921.5842,431075.0708
6.279602346/388.1544681,600714.6133,79874.18462,389080.8702,685210.0916,251469.3359,482094.2793,622997.5682,36847.60804,216873.2657,718970.4689,421786.8979,454021.8843,813727.5348,500297.5863,435220.7042,528258.4396,417345.6463,472802.043,626862.6167,317477.515,335624.4637,677272.9225,266545.1939,375482.405,167118.9521,518667.8184,92731.18353,326637.67,228162.697,374546.1604,110195.2294,298788.8792,334537.026,112839.4814,58982.79422,808603.3917,52365.01294,38507.61968,394665.2104,447281.9579,420973.5842,892182.015,195795.7912,500626.4811,935127.491,248338.453,120253.4309,343873.5323,641474.7381,343831.4732,385805.4259,65410.12585,389665.3786,224720.5576,270231.3865,182879.8563,294703.4876,276723.7882,576482.84,374086.2559,378261.7486,554798.3939,420116.5208,205452.5541,41559.76785,370923.6256,189403.1483,196241.9657,194262.8794,449291.1593,444286.4925,629318.6035,403896.8752,807290.3321,819329.755,685195.4284,543455.4472,965243.068,253162.1106,518597.3972,413934.4911,346817.7243,243206.094,307106.8894,171588.6827,219404.2705,47834.42896,230488.1735,2386065.361,274369.4969,136864.8629,4489548.016,613991.9611,643167.5801,479424.629,869015.1807,557424.845,334243.4555,625844.5368,601087.7063,262571.3149,272583.0937,626938.4555,382401.0628,406883.8175,607501.123,424789.4002,425246.5641,300356.8588,546838.0936,128824.2981,77024.95545,1090135.363,564585.4336,326758.8653,981075.7129,112750.8968,304589.2806,499211.2878,207833.3901,152881.8939,562245.0371,105940.3413,380835.7154,688760.7355,199793.3345,699438.4972,826231.9259,551150.8102,181783.6198
5.547330634/454.9988012,274097.0307,167945.4564,387565.6477,1140252.666,126663.8841,325769.73,954531.8981,91539.30625,335007.4311,1050359.658,221992.6563,359733.4426,1200710.145,283776.0248,141679.7825,999888.9839,347372.0046,673630.4943,317856.5448,217185.7626,335541.3674,1024805.518,533752.3709,366049.2355,1222176.762,946500.7049,159954.8747,354377.8538,1526378.008,688643.388,264828.9551,346267.0503,582783.9336,124551.1013,300210.3209,938241.1907,110966.3813,224876.5347,225267.1955,309232.7457,267249.9706,1094478.791,324538.0354,353697.2651,998656.2095,362543.3973,362482.0679,1052739.036,1066265.928,326515.2044,357325.9968,40732.74854,357212.7841,842569.603,493185.2759,237641.3288,327619.6073,356438.4826,376685.1237,1085251.628,1110140.478,363935.8567,1229877.579,1322171.264,403507.0983,1115393.405,1498076.81,376364.5791,1632274.73,1370087.29,434160.4223,1750278.638,1411715.077,453436.9027,371787.2558,313532.2369,352811.5742,1149910.914,1200172.603,362011.2035,1521489.755,1389373.641,718890.0218,1416922.679,664676.9697,353055.058,597224.9379,1141416.712,388996.9012,1554994.948,320951.4302,385447.9073,351451.333,278749.8052,365522.9509,1089533.75,1156490.056,342769.7994,1018504.921,1150295.725,391445.899,1371735.655,1037948.647,274670.9085,378962.1067,744999.2521,889836.1158,391562.4065,891529.2284,1035949.979,350119.942,162647.7403,325618.8872,360052.4539,333670.688,1164291.533,321048.5368,378650.8552,1425882.708,665017.8909,385573.9999,1386203.556,383038.8667,354162.5183,1372843.906,724950.6787,395121.3657,1882457.065,1434432.146,362914.013
3.452472714/241.0724511,218002.6043,125367.7313,270697.0651,90641.01814,154831.4992,110926.9497,149543.8794,121054.0478,150612.2333,111461.531,134303.0746,117334.4313,146098.2926,101263.7731,207429.526,136181.1424,164267.5423,150224.3424,427820.9351,203036.0864,229199.0071,192211.8831,40171.4184,211325.8415,194137.2049,223393.4172,18947.93564,222690.4621,239205.5361,107255.3675,62309.10607,240889.5059,98477.59063,23290.12815,163470.8781,232996.6423,15702.65024,103001.1521,148548.9502,225468.0836,187008.5169,387129.8016,42929.2498,259266.0225,506676.7158,74328.80346,391732.1306,476933.2722,309945.2804,283645.1428,214194.9875,48826.94964,362010.0609,408136.5593,193768.5546,202357.6077,243760.1467,160169.2797,136562.5627,634239.8327,624562.402,686444.0538,946564.0902,868822.4583,1189745.275,807014.3397,1769331.787,1253999.884,1063253.518,1728801.354,1265062.737,1247085.487,1398103.966,1332054.41,256697.8121,171453.7917,148134.8681,146597.7601,136436.3656,431884.7041,314657.033,264518.4364,454984.255,277877.733,84425.28626,464563.0288,96317.40181,156892.9649,554263.8679,300873.579,41458.12999,594340.2947,157970.1809,154170.6191,355433.7826,664770.2271,767415.7255,766095.9546,624106.9799,695906.3685,845925.6756,519665.4642,640072.1424,154786.3852,693023.2564,549622.8489,518708.2296,820380.4262,527288.2778,572353.0829,660276.9373,159144.0153,357592.9436,356837.8297,267309.6301,1415115.273,1834094.358,1015751.567,1498033.799,2009915.797,963512.769,1870786.179,704832.3401,1034526.79,1942725.695,1718898.518,1174003.111,2002097.947,3473912.706,1298400.815
7.626339659/291.199515,1071404.656,744369.0367,1196002.699,92667.50882,1679584.182,1453347.597,120935.1079,1317380.727,1531703.138,206834.6262,2615800.376,1509663.368,111867.4211,3839959.168,2103947.446,131345.0302,3729616.778,1930480.904,960631.2077,914662.5707,542729.1049,107263.8282,42435.17625,3240641.801,70264.06436,111192.1547,5638.08359,3436703.59,124140.9021,75994.40007,6721.935294,2849305.386,32056.27239,5496.102658,2370910.801,65311.59387,5843.040446,1762220.532,885991.9065,1141209.027,1013600.467,29707.21596,4529.106627,3341125.296,28830.05785,4400.997628,4142262.341,63577.06276,75634.60977,2789555.398,2072.637835,4732.218475,2603185.161,86931.00832,45490.9934,1000796.603,190042.9226,250128.729,172252.031,42927.35278,129669.0801,4464411.177,41024.48603,135796.1047,4982126.201,46184.57146,189827.6335,5660174.516,60406.99383,117251.7356,4969915.028,213633.3592,184402.8594,3428692.648,240267.3172,164797.1685,803368.2771,137143.816,100103.6055,4694312.231,62571.23659,112863.5438,3606437.317,97665.55961,39297.82428,5249148.453,3001.696348,105750.094,4556931.608,89526.821,3847.802577,5992127.564,161175.0417,149757.3587,238951.843,142700.3278,84872.40228,4118764.331,79393.93636,119454.9243,4405643.611,55342.79011,69771.94656,1200490.249,3686455.321,82234.07991,45300.50814,3281506.197,37632.60625,83476.15619,3177078.005,2752183.583,3250655.304,3798210.745,3319248.193,83610.05895,5224624.242,1297710.432,79753.12026,4809719.549,1180877.031,78499.65306,2171990.182,1098717.541,70543.51888,3575731.41,1432432.103,82189.83725,6889362.526,1194914.531
2.750074792/157.050392,485158.8123,329940.3427,775473.3372,986750.266,367747.0722,1607589.01,1446611.445,301240.6239,2017320.837,1318280.556,1086192.968,2024335.119,1970317.332,1553977.332,2814614.792,1630425.331,1980642.007,1805533.669,375617.4953,300117.0598,480109.5589,532112.0778,401652.7991,1412658.599,998538.0121,683498.7391,136084.0173,1433871.139,1351651.802,747794.2959,269523.5131,1325971.964,375576.3418,174894.8985,1269804.262,942031.4341,118200.6108,1053607.089,137841.6701,225194.9149,181518.2925,3810288.047,927542.1267,4677487.014,5210485.154,1843059.62,6874963.112,4751883.353,5671701.64,5164953.564,2262237.961,833409.623,7790320.5,7328675.336,3505021.183,4098480.519,648768.4163,783721.0321,1087791.125,1201057.068,1218698.374,1769345.644,1904084.489,1523322.752,2130711.96,1190453.157,2125524.746,2429934.283,2595178.335,1822954.104,2788089.921,3527802.049,1989708.093,3267850.549,680822.0953,616620.8447,867102.6571,1308073.996,1131857.299,1598579.219,1355974.251,2120897.441,1527592.131,1298074.049,438356.072,1856825.769,737045.526,824863.6783,1855085.818,1956521.284,256797.4932,1947159.999,860281.2926,766508.7133,744192.8657,2998850.168,4593969.379,4231406.84,4763427.227,6050528.953,5258855.5,14958966.09,8250499.86,2190666.037,8477403.234,5957972.025,8248923.283,10192386.45,5659022.458,9066491.421,10811769.92,394637.4146,516889.9737,1086949.733,759072.3463,1194884.876,1348155.151,2119490.085,1159982.388,1118173.834,1891464.074,1081860.234,570704.1947,1621469.101,1948326.619,976827.6103,1784099.476,1817002.752,2745097.323,1829882.888
2.836905532/187.0973499,129077.8575,63528.97132,244572.5159,317437.1407,144733.2466,152239.7081,355843.2573,163007.7469,295401.9679,372481.2045,279474.8281,321161.6393,474296.2219,380109.8949,397095.3751,493576.5978,445984.0879,469780.3429,302239.5092,234321.3763,305093.5624,661358.695,349927.3643,670401.9875,714214.0182,768807.5265,139394.5237,865323.9079,1063226.819,754064.1439,184179.1737,746442.9311,551516.1425,168957.0829,545430.194,794025.4686,74293.74607,402955.42,129842.4266,136034.3027,132938.3647,297732.5825,51232.70315,339285.7202,339057.9973,145281.6579,353276.1635,352997.8295,289118.65,295156.0387,278586.5295,68753.29366,386835.0613,392837.3766,204721.3411,264679.2725,295572.3922,366209.5857,460364.3139,635655.1473,649312.0938,533059.9257,820357.3059,947094.4014,678796.1628,671088.0168,963437.3804,823496.464,1080508.254,946154.1018,1022245.592,1306216.398,883243.7596,1145876.151,240603.1816,202766.469,274022.9824,411496.7714,274713.368,371009.7844,374140.5371,355479.9171,314524.9199,405207.9201,234359.9301,328588.1185,280458.2553,347969.2975,370565.9323,521495.1583,44730.31347,396949.6397,328863.6208,287079.8834,403243.4437,771526.6442,593323.1604,738692.1623,955530.2122,750253.4581,903833.062,1407753.405,1245526.803,431348.7954,1120569.935,1217754.328,819170.2759,1158635.977,903368.679,485533.7603,673951.5627,237814.8466,314791.129,426376.3649,357396.0839,642278.1323,404323.4544,596152.3175,667157.6454,438865.7933,588475.5674,656543.7184,237112.783,559212.7878,620550.8088,433168.6737,561716.5708,1001048.783,804876.6685,584148.9966
3.03900769/619.1014775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269049.2587,251097.9768,340735.1515,519861.8785,349550.803,512647.6558,343490.7428,497504.7721,245642.2143,587554.7394,267950.1673,451003.1928,366883.3823,531388.5132,381818.0347,324702.0391,356610.9659,57489.32599,216329.3936,267985.5408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344822.4793,405093.9257,460277.1362,396701.5718,588083.9171,383817.3834,438162.9219,608848.8335,550313.266,388622.1133,519212.4621,440731.5623,57344.68342,587683.1107,336238.3139,62266.13897,593230.9998,254641.33,0,0,131021.9284,0,0,163335.1812,0,0,140372.7062,2746.121227,0,200472.6636,0,0,149317.4966,0,0,231632.6816,469486.3183,487912.4043,495011.8856,349252.0835,407206.0439,440360.3506,307738.991,519100.5987,382087.5288,331363.9611,175952.5788,0,503611.5452,71653.2389,52273.54784,60828.85678,40485.16346,255454.0963,256278.9877,148805.8806,156284.8841,363543.8921,432019.2223,141610.0806,328536.6932,430220.173,316059.2449,446468.9289,406879.3254,240321.6652,375507.2298,211617.4408,151866.9186,366733.1608,200391.8688,229894.2962,87006.98873,145898.4346
5.123963611/841.5040827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305978.6245,86234.14124,143115.3711,1142060.049,559080.755,435991.3724,601641.584,923283.8677,95637.31141,506971.5689,614654.0737,831590.9407,132464.6459,472134.2607,439783.1573,76181.85802,476932.1759,1208605.586,36439.08439,262439.6475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11877.61683,4136.31548,196626.9294,2001017.399,1391723.068,968817.1156,1927894.495,2038482.149,1414079.89,1998912.634,2390837.147,1667586.803,3156180.409,2312753.4,1498954.502,4162545.983,2840351.977,2863238.466,0,0,6467.475299,0,0,204829.9663,0,0,248580.424,0,0,299612.3678,0,0,498446.3706,0,0,208508.061,359502.8224,164923.2967,96302.04933,1570371.004,687412.8582,550809.0472,1063701.083,566967.1591,625774.3576,1031188.159,1008795.022,0,472590.1068,1489365.352,592452.3067,676485.4917,1464635.309,471430.4571,357765.5151,467229.1908,1718629.149,535361.7301,300033.176,4999298.378,3631215.075,1763226.54,4080143.45,1979252.441,2312877.871,5050046.258,992047.8505,2523424.211,5027788.493,3131142.516,2472491.623,5855549.604,4880991.954,2259327.59
5.106940514/387.2176764,216298.9957,81355.94281,292780.5725,263473.198,150740.3142,434907.1401,323620.0683,139573.7902,581976.665,273059.8153,351600.2396,569995.612,370936.1412,476092.7836,687761.7249,337998.7766,511580.5994,424789.688,271548.503,293560.3192,290827.2748,199136.5724,127114.2697,614810.6093,471370.7033,144543.8848,44703.04666,443350.9429,640250.1613,81950.02694,39361.2318,493594.527,89162.741,17305.5517,405217.8916,301793.7164,54721.15228,334757.27,172377.6528,248763.5724,210570.6126,369708.6818,77970.73663,460204.7363,384795.4859,121576.4709,635147.6067,254686.4829,304614.8845,472039.3425,177892.817,84644.02907,711169.245,454942.17,164703.3223,350160.2096,308225.8216,400370.2877,462510.8539,314014.8468,214213.6211,495701.6909,426485.4124,226663.3649,611646.6709,328840.3935,168730.705,674738.2335,443458.8115,260023.5061,850902.7551,548913.3468,246115.2764,903499.3234,310899.4115,243478.6999,248748.1543,425817.5348,253531.0811,485964.315,576291.9488,373792.6956,486324.1898,525491.4753,138708.1443,532111.6449,186413.7862,232670.935,632459.325,588695.0202,99032.33069,723228.8586,268555.6734,253502.4465,303682.6583,207306.9889,278859.2361,591641.5605,283920.5734,274283.8458,621611.0251,503689.2743,348158.7579,493068.2435,612711.1978,237984.738,232269.6199,714214.782,233825.614,294142.8357,658100.7375,144217.6749,287303.9605,292527.648,218943.0482,388747.0965,314882.8686,492783.2167,368237.1556,303552.4578,490584.9124,321516.0736,123872.1807,471006.0423,382012.6415,294745.0307,521376.4325,465872.5829,582458.3859,499757.6276
2.1899244/207.0869633,327218.1053,171904.0792,307389.1641,603457.1046,268052.1627,610732.8198,697381.4546,218066.963,697207.8789,754761.1166,704856.4399,750938.7331,942504.681,921560.2939,994077.9613,908088.6743,1107064.858,1007576.766,279676.2318,148758.2803,221152.8857,493696.6476,220057.5217,574417.2589,592972.5754,516830.4444,74571.27494,600268.9093,736158.3342,456293.2179,121457.0649,611828.4395,431331.1898,78235.17661,579818.9898,697885.461,60224.31134,535692.7054,162235.5882,158908.4894,160572.0388,307417.6189,81456.30106,314844.1556,307877.7465,99934.61265,362055.4529,362498.4251,271937.5165,366555.8456,194634.0352,40167.70888,439243.8446,450759.1174,154377.4237,227229.1841,291011.0289,306900.5803,300286.2923,517941.1831,482657.5031,537246.2971,640293.7455,627176.615,753662.6578,518205.2467,683926.8844,728516.9409,860687.8262,663781.6877,833468.5758,1016554.675,758972.7729,1051150.364,261929.8567,215217.3648,235782.107,475990.2082,315807.5767,439416.043,465161.2024,434016.779,410847.9933,527838.3389,205522.8899,499376.0388,262632.9933,356786.1629,508090.7684,650512.1046,87061.76687,531497.2375,177503.5152,165055.418,179322.6693,359340.3419,289572.7042,317495.6842,383814.7612,449585.1983,371781.2941,530862.8767,484252.576,1289331.423,485500.0039,383937.5723,420760.3574,594556.4798,449060.0996,519008.931,706403.9971,98721.17534,175637.3111,250665.7449,166230.8029,350225.8784,419984.7382,500989.6163,351570.7145,341769.6428,457060.0345,285170.0507,210414.8526,446992.1087,264831.1698,351683.7767,484306.1806,505250.8382,739825.4295,473572.1456
